cell_id,min_m_tilt,max_m_tilt,min_e_tilt,max_e_tilt,min_height,max_height,min_azimuth,max_azimuth,min_tx_power,max_tx_power,optimised
11625_1,0,4,3,5,27,33,330,350,0.0,2.0,True
11625_2,0,4,9,11,27,33,90,110,0.0,2.0,False
11625_3,0,4,8,10,27,33,10,30,0.0,2.0,True
12248_1,0,4,1,3,27,33,180,200,0.0,2.0,True
12248_2,0,4,8,10,27,33,0,20,0.0,2.0,True
12248_3,0,4,9,11,27,33,80,100,0.0,2.0,False
13522_1,0,4,5,7,27,33,240,260,0.0,2.0,True
13522_2,0,4,9,11,27,33,200,220,0.0,2.0,True
13522_3,0,4,9,11,27,33,30,50,0.0,2.0,True
14067_1,0,4,7,9,27,33,40,60,0.0,2.0,False
14067_2,0,4,9,11,27,33,100,120,0.0,2.0,True
14067_3,0,4,9,11,27,33,340,0,0.0,2.0,True
14558_1,0,4,6,8,27,33,240,260,0.0,2.0,True
14558_2,0,4,9,11,27,33,80,100,0.0,2.0,True
14558_3,0,4,9,11,27,33,40,60,0.0,2.0,False
2169_1,0,4,5,7,27,33,160,180,0.0,2.0,True
2169_2,0,4,6,8,27,33,170,190,0.0,2.0,False
2169_3,0,4,9,11,27,33,340,0,0.0,2.0,False
364_2,0,4,9,11,27,33,80,100,0.0,2.0,False
364_3,0,4,9,11,27,33,190,210,0.0,2.0,True
364_3,0,4,9,11,27,33,190,210,0.0,2.0,False
367_1,0,4,5,7,27,33,120,140,0.0,2.0,True
367_2,0,4,9,11,27,33,260,280,0.0,2.0,False
367_3,0,4,9,11,27,33,40,60,0.0,2.0,False
3678_1,0,4,8,10,27,33,330,350,0.0,2.0,False
3678_2,0,4,9,11,27,33,160,180,0.0,2.0,False
3678_3,0,4,9,11,27,33,230,250,0.0,2.0,False
387_1,0,4,8,10,27,33,310,330,0.0,2.0,False
387_2,0,4,9,11,27,33,280,300,0.0,2.0,False
387_3,0,4,8,10,27,33,110,130,0.0,2.0,False
420230_1,0,4,3,5,27,33,310,330,0.0,2.0,True
420230_2,0,4,9,11,27,33,30,50,0.0,2.0,True
420230_3,0,4,9,11,27,33,250,270,0.0,2.0,False
420382_1,0,4,7,9,27,33,260,280,0.0,2.0,False
420382_2,0,4,8,10,27,33,90,110,0.0,2.0,False
420382_3,0,4,9,11,27,33,90,110,0.0,2.0,True
420511_1,0,4,3,5,27,33,150,170,0.0,2.0,False
420511_2,0,4,8,10,27,33,330,350,0.0,2.0,True
420511_3,0,4,9,11,27,33,90,110,0.0,2.0,True
430516_1,0,4,2,4,27,33,180,200,0.0,2.0,True
430516_2,0,4,8,10,27,33,300,320,0.0,2.0,True
430516_3,0,4,9,11,27,33,90,110,0.0,2.0,True
430580_1,0,4,8,10,27,33,160,180,0.0,2.0,False
430580_2,0,4,7,9,27,33,240,260,0.0,2.0,False
430580_3,0,4,9,11,27,33,350,10,0.0,2.0,False
5235_1,0,4,9,11,27,33,90,110,0.0,2.0,False
5235_2,0,4,9,11,27,33,250,270,0.0,2.0,False
5235_3,0,4,9,11,27,33,20,40,0.0,2.0,True
601054_1,0,4,9,11,27,33,160,180,0.0,2.0,False
601054_2,0,4,9,11,27,33,330,350,0.0,2.0,False
601054_3,0,4,9,11,27,33,180,200,0.0,2.0,True
603429_1,0,4,3,5,27,33,220,240,0.0,2.0,False
